Name,Height,Weight,Reach,Stance,Birthday,Nickname
Taylor Roberts,5' 11",170 lbs.,--,,--,,
Daniel Roberts,5' 10",170 lbs.,74",Southpaw,Aug 05  1980,Ninja,
Buddy Roberts,6' 2",185 lbs.,--,Orthodox,Oct 17  1982,,
Danny Roberts,6' 1",170 lbs.,74",Southpaw,Jul 14  1987,Hot Chocolate,
Roosevelt Roberts,6' 2",155 lbs.,73",Orthodox,Feb 11  1994,The Predator,
Kenny Robertson,5' 10",170 lbs.,74",Orthodox,Feb 14  1984,,
Gillian Robertson,5' 5",125 lbs.,63",Orthodox,May 17  1995,The Savage,
Chad Robichaux,5' 4",135 lbs.,--,,Aug 18  1975,Robo,
Mark Robinson,6' 0",265 lbs.,--,Orthodox,--,White Rhino,
Colin Robinson,6' 4",243 lbs.,--,Orthodox,Nov 27  1968,Big C,
Alvin Robinson,5' 9",155 lbs.,68",Southpaw,Jul 16  1982,,
Vagner Rocha,5' 10",155 lbs.,73",Orthodox,Jun 06  1982,Ceara,
Carlos Eduardo Rocha,5' 10",170 lbs.,70",Orthodox,Jul 12  1981,Ta Danado,
Keith Rockel,6' 0",185 lbs.,--,Orthodox,--,Rock,
Luke Rockhold,6' 3",205 lbs.,77",Southpaw,Oct 17  1984,,
Kevin Roddy,5' 11",145 lbs.,--,,--,K-Rod,
Bruno Korea,5' 6",135 lbs.,65",,Jun 28  1991,Korea,
Paul Rodriguez,5' 7",155 lbs.,--,Orthodox,--,,
Ricco Rodriguez,6' 4",265 lbs.,--,Orthodox,Aug 19  1977,Suave,
Manuel Rodriguez,5' 9",170 lbs.,68",Orthodox,Apr 25  1985,Chalate,
Yair Rodriguez,5' 11",145 lbs.,71",Orthodox,Oct 06  1992,El Pantera,
Mike Rodriguez,6' 4",205 lbs.,82",Southpaw,Nov 28  1988,Slo Mike,
Marina Rodriguez,5' 6",115 lbs.,65",Orthodox,Apr 29  1987,,
Daniel Rodriguez,6' 1",170 lbs.,74",Southpaw,Dec 31  1986,D-Rod,
Ray Rodriguez,5' 7",135 lbs.,69",Orthodox,Dec 10  1987,The Judge,
Nick Roehrick,6' 2",205 lbs.,75",Orthodox,Jul 06  1987,,
Marcos Rogerio de Lima,6' 1",253 lbs.,75",Orthodox,Jun 25  1985,Pezao,
Brett Rogers,6' 5",265 lbs.,81",Orthodox,Feb 17  1981,The Grim,
Brian Rogers,5' 11",185 lbs.,--,,Feb 15  1984,The Professional Predator,
Pete Rogers Jr.,6' 0",145 lbs.,--,,--,The Heat,
Shane Roller,5' 10",155 lbs.,72",Orthodox,Jul 14  1979,,
Jared Rollins,5' 9",170 lbs.,--,Orthodox,Jan 26  1977,J-Roc,
Tim Roman,6' 1",170 lbs.,--,,Jun 08  1985,,
Alexander Romanov,6' 0",265 lbs.,--,,Dec 11  1990,,
Ricardo Romero,6' 0",205 lbs.,76",Orthodox,Apr 15  1978,,
Yoel Romero,6' 0",185 lbs.,73",Southpaw,Apr 30  1977,Soldier of God,
Mara Romero Borella,5' 6",125 lbs.,69",Orthodox,Jun 03  1986,Maravilha,
Jesse Ronson,5' 10",155 lbs.,72",Southpaw,Dec 24  1985,The Body Snatcher,
George Roop,6' 1",135 lbs.,72",Orthodox,Nov 10  1981,,
Joao Roque,5' 6",155 lbs.,--,Orthodox,Jul 22  1971,,
Aaron Rosa,6' 4",205 lbs.,78",Orthodox,May 28  1983,,
Charles Rosa,5' 9",145 lbs.,69",Switch,Aug 24  1986,Boston Strong,
Karol Rosa,5' 5",135 lbs.,67",Orthodox,Dec 30  1994,,
Jacob Rosales,5' 11",155 lbs.,--,Orthodox,Jul 28  1995,Lil Badger,
Jake Rosholt,6' 1",185 lbs.,--,Orthodox,Feb 09  1982,,
Jared Rosholt,6' 2",265 lbs.,75",Orthodox,Aug 04  1986,,
Kevin Rosier,6' 4",275 lbs.,--,Orthodox,--,,
Zach Rosol,--,243 lbs.,--,,--,,
Nick Rossborough,6' 5",205 lbs.,--,,Nov 18  1981,Leatherface,
Kristian Rothaermel,6' 0",205 lbs.,--,Open Stance,Jan 31  1972,,
Ben Rothwell,6' 4",265 lbs.,78",Orthodox,Oct 17  1981,,
Rick Roufus,6' 0",207 lbs.,--,Southpaw,--,,
Khalil Rountree Jr.,6' 1",205 lbs.,76",Southpaw,Feb 26  1990,,
Ronda Rousey,5' 7",135 lbs.,68",Orthodox,Feb 01  1987,Rowdy,
Ray Routh,5' 8",185 lbs.,--,Orthodox,--,,
Roberta Rovel,5' 8",145 lbs.,--,,--,Crusher,
Philip Rowe,6' 3",170 lbs.,80",Orthodox,Jul 18  1990,The Fresh Prince,
Kain Royer,--,185 lbs.,--,,--,,
Brad Royster,--,135 lbs.,--,,--,,
Brandon Royval,5' 9",125 lbs.,68",Southpaw,Aug 16  1992,Raw Dawg,
Jairzinho Rozenstruik,6' 4",242 lbs.,78",Orthodox,Mar 17  1988,Bigi Boy,
Mauricio Rua,6' 1",205 lbs.,76",Orthodox,Nov 25  1981,Shogun,
Murilo Rua,5' 11",185 lbs.,--,Orthodox,May 22  1980,Ninja,
Marco Ruas,6' 1",210 lbs.,--,Orthodox,Jan 23  1961,King of the Streets,
Rodrigo Ruas,5' 10",185 lbs.,--,Orthodox,Oct 06  1977,,
Rodolfo Rubio,5' 5",145 lbs.,66",Orthodox,Jan 29  1987,Fito,
Gabe Ruediger,5' 10",155 lbs.,--,Orthodox,Aug 29  1977,Godzilla,
Eddie Ruiz,5' 7",155 lbs.,--,Orthodox,Jun 10  1967,,
Anthony Ruiz,6' 2",205 lbs.,--,Orthodox,Nov 03  1977,El Toro,
Paul Ruiz,5' 6",135 lbs.,--,,Jun 23  1987,,
Mike Russow,6' 1",255 lbs.,73",Orthodox,Sep 11  1976,,
Bas Rutten,6' 1",205 lbs.,--,Orthodox,Feb 24  1965,El Guapo,
Casey Ryan,--,185 lbs.,--,,--,,
Yusup Saadulaev,5' 6",135 lbs.,--,,Mar 31  1985,Maestro,
Pete Sabala,--,135 lbs.,--,,--,,
Amir Sadollah,5' 10",170 lbs.,74",Orthodox,Aug 27  1980,,
Frankie Saenz,5' 6",135 lbs.,66",Orthodox,Aug 12  1980,,
Saparbeg Safarov,6' 1",205 lbs.,78",Orthodox,Oct 14  1986,,
Tarec Saffiedine,5' 10",170 lbs.,70",Switch,Sep 06  1986,Sponge,
Jason Saggo,5' 11",155 lbs.,71",Orthodox,Nov 23  1985,,
Ovince Saint Preux,6' 3",230 lbs.,80",Southpaw,Apr 08  1983,,
Lukasz Sajewski,5' 8",155 lbs.,71",Orthodox,Nov 27  1990,Wookie,
Yukio Sakaguchi,5' 9",185 lbs.,--,Orthodox,Jul 26  1973,,
Augusto Sakai,6' 3",265 lbs.,77",Orthodox,May 09  1991,,
Alessio Sakara,6' 0",185 lbs.,72",Orthodox,Sep 02  1981,Legionarius,
Wataru Sakata,5' 9",195 lbs.,--,Southpaw,Mar 11  1973,,
Gokhan Saki,6' 0",205 lbs.,73",Orthodox,Oct 19  1983,The Rebel,
Kazushi Sakuraba,6' 0",185 lbs.,--,Southpaw,Jul 14  1969,The Gracie Hunter,
Hayato Sakurai,5' 7",168 lbs.,--,Orthodox,Aug 24  1975,Mach,
Ryuta Sakurai,5' 7",183 lbs.,--,Orthodox,--,,
Justin Salas,5' 8",155 lbs.,70",Southpaw,Mar 13  1982,J-Bomb,
Ivan Salaverry,6' 0",185 lbs.,--,Orthodox,Jan 11  1971,,
Roman Salazar,5' 7",135 lbs.,67",Orthodox,Feb 21  1988,El Gallito,
John Salgado,5' 10",170 lbs.,--,,--,Greco,
Muslim Salikhov,5' 11",170 lbs.,70",Orthodox,Jun 09  1984,King of Kung Fu,
Gabriel Salinas-Jones,6' 1",245 lbs.,--,,Nov 20  1984,,
Brandon Saling,5' 10",170 lbs.,--,,Jan 28  1986,White Steel,
Sean Salmon,5' 10",185 lbs.,--,Southpaw,Sep 11  1977,,
Boston Salmon,5' 9",135 lbs.,69",Southpaw,Nov 20  1990,Boom Boom,
John Salter,6' 1",185 lbs.,74",Southpaw,Mar 21  1985,,
Josh Samman,6' 3",185 lbs.,79",Orthodox,Mar 14  1988,Anqa,
Johnny Sampaio,5' 8",170 lbs.,--,Orthodox,Sep 11  1975,,
Joshua Sampo,5' 4",125 lbs.,64",Orthodox,Jul 24  1984,The Gremlin,
Josh San Diego,5' 10",135 lbs.,--,,--,JSD,
Diego Sanchez,5' 10",170 lbs.,72",Southpaw,Dec 31  1981,Nightmare,
Eddie Sanchez,6' 2",230 lbs.,74",Orthodox,Nov 04  1982,The Manic Hispanic,
Julian Sanchez,6' 3",300 lbs.,--,Orthodox,--,,
Bobby Sanchez,5' 7",155 lbs.,--,Orthodox,--,The Kid,
Donald Sanchez,5' 10",145 lbs.,--,,Aug 18  1984,,
Joby Sanchez,5' 6",135 lbs.,68",Orthodox,Jun 24  1991,,
Emmanuel Sanchez,5' 9",145 lbs.,--,,Aug 11  1990,El Matador,
Erick Sanchez,5' 10",145 lbs.,--,,Oct 04  1990,,
Andrew Sanchez,6' 1",185 lbs.,74",Orthodox,Apr 08  1988,El Dirte,
Roberto Sanchez,5' 6",125 lbs.,66",Orthodox,Mar 05  1986,Littlefury,
Jesse Sanders,6' 0",170 lbs.,--,Orthodox,--,,
Luke Sanders,5' 6",135 lbs.,67",Southpaw,Dec 12  1985,Cool Hand,
Jerrod Sanders,5' 8",135 lbs.,72",Orthodox,Oct 01  1979,J-Reazie,
Cory Sandhagen,5' 11",135 lbs.,70",Switch,Apr 20  1992,,
Hugo Sandoval,--,135 lbs.,--,,--,,
Raul Sandoval,--,130 lbs.,--,,--,,
Joseph Sandoval,5' 7",135 lbs.,--,Southpaw,May 11  1986,,
Hector Sandoval,5' 2",125 lbs.,64",Orthodox,Jul 19  1986,Kid Alex,
Chris Sanford,5' 11",185 lbs.,--,Orthodox,Mar 12  1968,,
Roldan Sangcha-an,5' 4",125 lbs.,65",Orthodox,Dec 04  1990,The Executioner,
Yuhi Sano,5' 11",243 lbs.,--,Orthodox,Feb 02  1965,,
Jonathan Santa Maria,5' 9",125 lbs.,--,,--,,
Duda Santana,5' 7",145 lbs.,73",Orthodox,Jan 10  1996,Cowboyzinha,
Sean Santella,5' 5",125 lbs.,--,,Oct 25  1984,Shorty Rock,
Jorge Santiago,6' 1",170 lbs.,74",Orthodox,Oct 09  1980,The Sandman,
Mike Santiago,5' 10",145 lbs.,69",Orthodox,Jul 28  1989,,
Will Santiago,5' 7",185 lbs.,--,Orthodox,Feb 08  1983,The Brown Bomber,
Richie Santiago,5' 7",135 lbs.,67",Southpaw,Oct 10  1992,The Milford Mauler,
Jose Santibanez,--,155 lbs.,--,,Jan 18  1980,,
Art Santore,6' 2",185 lbs.,--,,Oct 26  1972,Pachuco,
Adriano Santos,--,--,--,,--,,
Paulo Santos,--,--,--,,--,,
Evangelista Santos,5' 10",170 lbs.,76",Orthodox,Dec 12  1977,Cyborg,
Luis Santos,6' 1",170 lbs.,--,Southpaw,--,,
Iliarde Santos,5' 5",125 lbs.,66",Orthodox,Sep 25  1980,,
Leonardo Santos,6' 0",155 lbs.,75",Orthodox,Feb 05  1980,Nenhum,
Thiago Santos,6' 2",205 lbs.,76",Orthodox,Jan 07  1984,Marreta,
Bruno Santos,5' 9",185 lbs.,69",Orthodox,Jul 17  1987,Carioca,
Andre Santos,6' 0",170 lbs.,--,,--,Chatuba,
Gleristone Santos,5' 9",145 lbs.,--,,Aug 20  1988,Toninho Furia,
Taila Santos,5' 5",125 lbs.,68",Orthodox,Jun 22  1993,,
Marilia Santos,5' 4",125 lbs.,--,Orthodox,Dec 12  1992,Chocolate,
Nick Sanzo,5' 9",190 lbs.,--,,--,,
Bob Sapp,6' 5",350 lbs.,--,Orthodox,Sep 22  1974,The Beast,
Daniel Sarafian,5' 9",185 lbs.,73",Orthodox,Aug 21  1982,,
Diego Saraiva,5' 6",155 lbs.,--,Orthodox,Apr 23  1982,The Octopus,
Harris Sarmiento,5' 9",155 lbs.,--,Orthodox,Sep 09  1983,The Hitman,
Alexander Sarnavskiy,5' 11",155 lbs.,--,,Jan 17  1989,Tiger,
Yuki Sasaki,6' 2",185 lbs.,--,Orthodox,Sep 12  1976,,
Kyosuke Sasaki,5' 7",183 lbs.,--,Southpaw,--,,
Ulka Sasaki,5' 10",125 lbs.,71",Southpaw,Oct 07  1989,Ulka,
Paul Sass,6' 0",155 lbs.,73",Orthodox,Aug 04  1988,,
Masaaki Satake,6' 1",220 lbs.,--,Orthodox,Aug 17  1965,,
Takenori Sato,5' 10",170 lbs.,71",Southpaw,Jun 08  1985,,
Takashi Sato,5' 10",170 lbs.,73",Southpaw,Jun 09  1990,Ten,
Jeimeson Saudino,5' 6",135 lbs.,--,,Mar 05  1991,The Minion,
Tom Sauer,6' 1",263 lbs.,--,,Nov 11  1970,,
Townsend Saunders,5' 5",170 lbs.,--,Orthodox,--,,
Ben Saunders,6' 2",170 lbs.,77",Orthodox,Apr 13  1983,Killa B,
Chad W. Saunders,5' 10",170 lbs.,--,Orthodox,--,,
Chris Saunders,5' 8",155 lbs.,--,,Mar 11  1986,The So Cal Kid,
Lumumba Sayers,6' 0",185 lbs.,--,,Jun 30  1978,,
Matt Sayles,5' 7",145 lbs.,68",Orthodox,Feb 21  1994,,
Mark Scanlon,5' 9",170 lbs.,--,Orthodox,--,,
Eric Schafer,6' 3",185 lbs.,75",Orthodox,Sep 20  1977,Red,
Kerry Schall,6' 2",265 lbs.,--,Orthodox,Aug 09  1971,Meat Truck,
Eric Schambari,5' 11",185 lbs.,--,Orthodox,Apr 22  1978,,
Brendan Schaub,6' 4",245 lbs.,78",Orthodox,Mar 18  1983,Big Brown,
Antonio Schembri,5' 9",205 lbs.,--,Orthodox,Jun 01  1974,Nino,
Fabiano Scherner,6' 3",257 lbs.,--,Orthodox,Jun 30  1972,Pegaleve,
Samy Schiavo,5' 8",155 lbs.,--,Orthodox,Dec 24  1975,,
Pat Schilling,5' 8",145 lbs.,69",Orthodox,Aug 28  1988,Thrilling,
Joe Schilling,6' 3",185 lbs.,--,,--,,
Semmy Schilt,6' 10",265 lbs.,--,Orthodox,Oct 27  1973,Hightower,
Adam Schindler,5' 8",155 lbs.,--,,May 19  1983,,
Daniel Schmitt,--,185 lbs.,--,,--,,
Colleen Schneider,--,135 lbs.,--,,--,,
Matt Schnell,5' 8",125 lbs.,70",Orthodox,Jan 15  1990,Danger,
Alex Schoenauer,6' 3",185 lbs.,--,Orthodox,May 05  1976,,
Darrill Schoonover,6' 2",220 lbs.,--,Orthodox,Jul 18  1985,The Boss,
Bob Schrijber,6' 0",240 lbs.,--,Orthodox,--,Dirty,
Nate Schroeder,6' 1",230 lbs.,--,,--,,
Lacey Schuckman,5' 3",125 lbs.,--,,--,,
Mark Schultz,5' 9",200 lbs.,--,Orthodox,--,,
Brian Schwartz,6' 3",170 lbs.,--,Orthodox,--,,
Eric Schwartz,--,205 lbs.,--,,--,,
Justin Scoggins,5' 7",125 lbs.,66",Southpaw,May 02  1992,,
Bradley Scott,6' 1",170 lbs.,76",Orthodox,Jun 24  1989,Bear,
Greg Scott,5' 9",145 lbs.,--,,--,,
Mike Seal,6' 4",185 lbs.,--,Orthodox,--,Crazy Boy,
Matt Secor,6' 0",170 lbs.,--,,Sep 26  1986,,
Kenneth Seegrist,6' 0",185 lbs.,--,Orthodox,--,,
Neil Seery,5' 4",125 lbs.,64",Orthodox,Aug 30  1979,2Tap,
Rony Sefo,5' 9",225 lbs.,--,Orthodox,--,,
Ray Sefo,6' 0",240 lbs.,--,Orthodox,Feb 15  1971,Sugarfoot,
Brendan Seguin,6' 0",185 lbs.,--,,Jul 03  1976,,
Stefan Sekulic,6' 0",170 lbs.,75",Southpaw,Feb 12  1992,,
Pete Sell,5' 11",170 lbs.,75",Orthodox,Aug 05  1982,Drago,
Andrei Semenov,6' 0",185 lbs.,--,Orthodox,Jun 17  1977,,
Mackens Semerzier,5' 9",145 lbs.,72",Orthodox,Nov 03  1980,Da Menace,
Brandon Sene,5' 11",205 lbs.,--,,May 21  1981,,
Kim In Seok,5' 6",145 lbs.,--,Orthodox,--,,
Ray Seraille,6' 3",246 lbs.,--,,--,,
Ivan Serati,6' 0",205 lbs.,--,Orthodox,--,,
Alex Serdyukov,6' 2",170 lbs.,74",Orthodox,May 24  1980,The Russian Crusher,
Nicholas Sergiacomi,--,170 lbs.,--,,--,,
Matt Serra,5' 6",170 lbs.,68",Orthodox,Jun 02  1974,The Terra,
Nick Serra,5' 9",170 lbs.,--,Orthodox,Mar 27  1978,The Mad Monkey,
Adrian Serrano,5' 8",170 lbs.,--,,Dec 23  1963,,
Fredy Serrano,5' 3",125 lbs.,65",Orthodox,Sep 22  1979,El Profe,
Carl Seumanutafa,6' 1",255 lbs.,--,Orthodox,--,,
Dan Severn,6' 2",250 lbs.,--,Southpaw,Jun 08  1958,The Beast,
Rosi Sexton,5' 3",135 lbs.,63",Orthodox,Jul 16  1977,The Surgeon,
Scott Shaffer,5' 7",145 lbs.,--,Orthodox,--,,
Edmen Shahbazyan,6' 2",185 lbs.,74",Orthodox,Nov 20  1997,The Golden Boy,
Leon Shahbazyan,6' 4",170 lbs.,74",Orthodox,Nov 18  1995,,
Kamal Shalorus,5' 8",155 lbs.,68",Orthodox,Aug 27  1972,Prince of Persia,
Ken Shamrock,6' 1",205 lbs.,72",Orthodox,Feb 11  1964,The World's Most Dangerous Man,
Frank Shamrock,5' 10",185 lbs.,--,Orthodox,Dec 08  1972,,
Jason Sharp,--,205 lbs.,--,,--,,
Eric Shelton,5' 6",125 lbs.,68",Orthodox,Feb 02  1991,Showtime,
Sean Sherk,5' 6",155 lbs.,67",Orthodox,Aug 05  1973,The Muscle Shark,
Chase Sherman,6' 4",250 lbs.,78",Orthodox,Nov 16  1989,The Vanilla Gorilla,
Valentina Shevchenko,5' 5",125 lbs.,66",Southpaw,Mar 07  1988,Bullet,
Antonina Shevchenko,5' 8",125 lbs.,67",Southpaw,Nov 20  1984,La Pantera,
Katsuyori Shibata,6' 0",168 lbs.,--,Orthodox,Nov 17  1979,,
Jake Shields,6' 0",170 lbs.,72",Orthodox,Jan 09  1979,,
Shunichi Shimizu,5' 5",135 lbs.,66",Orthodox,Jan 31  1985,Rolling Star,
Wade Shipp,6' 3",245 lbs.,--,Orthodox,Feb 09  1975,The Nightmare,
Raja Shippen,5' 6",145 lbs.,--,,Oct 07  1986,,
Yuya Shirai,5' 8",168 lbs.,--,Orthodox,Apr 02  1980,,
Wes Shivers,6' 8",--,--,,--,,
Alexander Shlemenko,5' 11",185 lbs.,--,,May 20  1984,Storm,
Josh Shockley,6' 1",155 lbs.,74",Orthodox,Nov 15  1989,,
Josh Shockman,6' 4",235 lbs.,--,Southpaw,Dec 29  1980,The War Hammer,
Akira Shoji,5' 8",195 lbs.,--,Orthodox,Jan 31  1974,,
Jack Shore,5' 8",135 lbs.,71",Orthodox,Feb 06  1995,Tank,
Landon Showalter,6' 0",185 lbs.,--,,Jun 14  1976,The Show,
Ivan Shtyrkov,6' 0",205 lbs.,74",Orthodox,Jun 09  1988,Ural Hulk,
Brandon Shuey,5' 7",155 lbs.,--,Orthodox,Feb 01  1976,Big Dawg,
Sam Sicilia,5' 8",145 lbs.,67",Orthodox,Feb 01  1986,,
Kiril Sidelnikov,5' 11",230 lbs.,--,,Aug 17  1988,,
Steven Siler,5' 11",145 lbs.,70",Orthodox,Feb 15  1987,Super,
Siala Siliga,6' 1",290 lbs.,--,Orthodox,Oct 08  1970,Mighty Mo,
Xavier Siller,5' 5",125 lbs.,--,,Jun 06  1994,Young Guns,
Assuerio Silva,5' 10",241 lbs.,--,Orthodox,Jun 18  1974,,
Anderson Silva,6' 2",185 lbs.,77",Southpaw,Apr 14  1975,The Spider,
Wanderlei Silva,5' 11",205 lbs.,74",Orthodox,Jul 03  1976,The Axe Murderer,
Thiago Silva,6' 2",205 lbs.,74",Orthodox,Nov 12  1982,,
Paulo Cesar Silva,7' 5",385 lbs.,--,Orthodox,Jul 21  1963,Giant,
Jean Silva,5' 6",160 lbs.,--,Orthodox,Oct 08  1977,White Bear,
Edson Silva,--,205 lbs.,--,Orthodox,--,Paredao,
Sidney Silva,6' 3",170 lbs.,--,Southpaw,Feb 27  1972,,
Jay Silva,6' 2",185 lbs.,--,Southpaw,--,,
Antonio Silva,6' 4",264 lbs.,80",Orthodox,Sep 14  1979,Bigfoot,
Fabio Silva,5' 11",205 lbs.,--,Orthodox,Mar 31  1982,,
Erick Silva,6' 0",170 lbs.,74",Orthodox,Jun 21  1984,The Tiger,
Leandro Silva,5' 9",155 lbs.,72",Orthodox,Nov 11  1985,Buscape,
Wagner Silva,6' 0",170 lbs.,71",Orthodox,Feb 07  1987,Wagnao,
Rafael Silva,5' 7",135 lbs.,--,,Mar 20  1985,Morcego,
Joaquim Silva,5' 8",155 lbs.,69",Southpaw,Feb 05  1989,Netto BJJ,
Felipe Silva,6' 0",155 lbs.,77",Orthodox,May 08  1984,,
Dayana Silva,5' 7",135 lbs.,--,Orthodox,Aug 27  1990,,
Bruno Silva,5' 4",135 lbs.,65",Orthodox,Mar 16  1990,Bulldog,
Bruno Silva,6' 0",185 lbs.,--,,Jul 13  1989,Blindado,
Gabriel Silva,5' 6",135 lbs.,71",Orthodox,Aug 26  1994,,
Douglas Silva de Andrade,5' 7",145 lbs.,68",Orthodox,Jun 22  1985,D Silva,
Leonardo Silva,6' 2",185 lbs.,--,Orthodox,Apr 23  1992,Cabecao,
Marcus Silveira,6' 3",242 lbs.,--,Orthodox,--,Conan,
Elias Silverio,5' 11",155 lbs.,73",Orthodox,Sep 22  1986,Xuxu,
Ricky Simon,5' 6",135 lbs.,69",Orthodox,Aug 31  1992,,
Aaron Simpson,6' 0",170 lbs.,73",Orthodox,Jul 20  1974,A-Train,
Wes Sims,6' 10",260 lbs.,--,Orthodox,Aug 04  1979,The Project,
Marlon Sims,--,170 lbs.,--,,--,,
Tony Sims,5' 11",155 lbs.,70",Southpaw,Oct 14  1985,,
Everett Sims,6' 5",260 lbs.,77",Southpaw,Sep 04  1988,Sexual Chocolate,
Lodune Sincaid,5' 9",185 lbs.,--,Orthodox,May 07  1973,,
Rob Sinclair,5' 8",155 lbs.,--,,Feb 20  1980,,
Rory Singer,6' 2",185 lbs.,77",Orthodox,May 28  1976,Outburst,
Elvis Sinosic,6' 3",205 lbs.,77",Orthodox,Feb 13  1971,The King of Rock n' Rumble,
Mitchell Sipe,6' 2",245 lbs.,--,Orthodox,Apr 09  1996,The Sniper,
AJ Siscoe,5' 7",135 lbs.,--,,--,Let's Go,
Yokthai Sithoar,5' 7",143 lbs.,--,,Dec 25  1974,,
Jeri Sitzes,5' 5",125 lbs.,--,,--,,
Dennis Siver,5' 6",145 lbs.,70",Orthodox,Jan 13  1979,,
Chas Skelly,5' 11",145 lbs.,72",Orthodox,May 11  1985,The Scrapper,
Matt Skelton,6' 3",265 lbs.,--,Orthodox,Jan 23  1967,,
Zach Skinner,5' 6",145 lbs.,--,Orthodox,--,,
Brian Sleeman,5' 8",185 lbs.,--,,--,,
Joe Slick,6' 0",199 lbs.,--,Orthodox,Oct 17  1977,,
Ray Sloan,6' 1",205 lbs.,--,,Jul 14  1985,,
Kestutis Smirnovas,5' 10",200 lbs.,--,Orthodox,--,,
Maurice Smith,6' 2",221 lbs.,--,Orthodox,Dec 13  1961,,
Patrick Smith,6' 2",225 lbs.,--,Orthodox,Aug 28  1963,,
Scott Smith,6' 0",185 lbs.,70",Orthodox,May 21  1979,Hands of Steel,
Eric Smith,--,--,--,Southpaw,--,,
Josh Smith,6' 0",155 lbs.,--,Orthodox,Jul 02  1982,,
David Smith,--,155 lbs.,--,,--,,
Adam Smith,--,--,--,,--,,
Dillon Smith,6' 0",170 lbs.,--,,--,,
Trevor Smith,6' 3",185 lbs.,75",Orthodox,Jan 05  1981,Hot Sauce,
Anthony Smith,6' 4",205 lbs.,76",Orthodox,Jul 26  1988,Lionheart,
Colton Smith,6' 0",155 lbs.,71",Orthodox,Aug 14  1987,,
Gilbert Smith,5' 9",185 lbs.,75",Southpaw,Oct 19  1981,,
Leslie Smith,5' 9",135 lbs.,66",Orthodox,Aug 17  1982,The Peacemaker,
Devonte Smith,5' 9",155 lbs.,76",Orthodox,Jul 30  1993,King Kage,
Cole Smith,5' 11",135 lbs.,67",Orthodox,Apr 05  1989,The Cole Train,
Walter Smith-Cotito,5' 8",135 lbs.,--,,--,,
Justin Smitley,--,145 lbs.,--,,--,,
Dmitrii Smoliakov,6' 2",253 lbs.,74",Switch,Aug 05  1982,The Lifeguard,
Louis Smolka,5' 9",135 lbs.,68",Orthodox,Jul 16  1991,Da Last Samurai,
Richie Smullen,5' 9",155 lbs.,68",Orthodox,Aug 17  1991,,
Devin Smyth,5' 10",170 lbs.,72",Switch,Jul 21  1995,The Prodigy,
Denis Sobolev,6' 3",216 lbs.,--,Orthodox,--,,
Peter Sobotta,6' 0",170 lbs.,75",Southpaw,Jan 11  1987,,
Renato Sobral,6' 1",205 lbs.,75",Orthodox,Sep 07  1975,Babalu,
Rameau Thierry Sokoudjou,5' 10",205 lbs.,78",Orthodox,Apr 18  1984,The African Assassin,
Joe Solecki,5' 9",155 lbs.,70",Orthodox,Aug 27  1993,,
Chris Solomon,5' 11",155 lbs.,--,,--,,
Joe Son,5' 4",236 lbs.,--,Orthodox,Nov 22  1970,,
Paul Song,--,185 lbs.,--,,--,,
Kenan Song,6' 0",170 lbs.,71",Orthodox,Mar 10  1990,The Assassin,
Chael Sonnen,6' 1",205 lbs.,74",Southpaw,Apr 03  1977,,
Cody Sons,5' 9",205 lbs.,--,,--,,
Jinsoo Son,5' 6",135 lbs.,69",Orthodox,Apr 01  1993,,
Emiliano Sordi,6' 2",205 lbs.,--,Orthodox,Feb 15  1991,He-Man,
Sean Soriano,5' 9",145 lbs.,70",Orthodox,Oct 06  1989,,
Punahele Soriano,5' 11",185 lbs.,72",Southpaw,Nov 22  1992,Puna,
Dmitry Sosnovskiy,6' 3",240 lbs.,77",Orthodox,Jul 06  1989,Wicked Machine,
Ben Sosoli,6' 0",265 lbs.,72",Southpaw,Dec 10  1989,Combat Wombat,
Krzysztof Soszynski,6' 1",205 lbs.,77",Open Stance,Aug 02  1977,The Polish Experiment,
George Sotiropoulos,5' 10",155 lbs.,71",Orthodox,Jul 09  1977,,
Greg Soto,5' 11",170 lbs.,73",Orthodox,Jun 03  1986,,
Alex Soto,5' 8",135 lbs.,71",Southpaw,Feb 15  1984,Extremo,
Joe Soto,5' 6",135 lbs.,65",Orthodox,Mar 22  1987,One Bad Mofo,
Mario Soto,6' 0",145 lbs.,--,,--,Dr. Mario,
Andre Soukhamthath,5' 9",135 lbs.,70",Orthodox,Oct 23  1988,The Asian Sensation,
Bobby Southworth,6' 2",205 lbs.,--,Orthodox,Dec 16  1969,,
Jacare Souza,6' 1",185 lbs.,72",Orthodox,Dec 07  1979,Jacare,
Kevin Souza,6' 0",145 lbs.,74",Orthodox,Oct 17  1984,Kevin,
Livinha Souza,5' 3",115 lbs.,63",Orthodox,Mar 11  1991,The Brazilian Gangsta,
Charon Spain,5' 9",155 lbs.,--,,Mar 11  1988,,
Chris Spang,6' 2",170 lbs.,--,Orthodox,Nov 26  1987,The Kiss,
Andreas Spang,6' 1",185 lbs.,--,,Nov 07  1978,Sweet Swede,
Ryan Spann,6' 5",205 lbs.,79",Orthodox,Aug 24  1991,Superman,
Ron Sparks,6' 5",265 lbs.,--,,--,The Monster,
Tommy Speer,5' 10",170 lbs.,71",Orthodox,Aug 20  1984,,
Patrick Speight,6' 1",170 lbs.,--,Orthodox,--,,
Sean Spencer,5' 10",170 lbs.,75",Orthodox,Jun 25  1987,Black Magic,
